,Year,Distance,Type,Stage,Temperature,Precipitation,Humidity,Wind Speed,Relative Wind Speed,Average_speed
137,1986,154.0,1,14.0,23.7,0.0,61.84,31.3,21.710841475732686,40.573770491803295
138,1986,225.5,1,15.0,25.9,0.0,45.6,34.1,28.481588197357414,38.3811640111579
139,1986,246.5,1,16.0,17.0,5.0,66.37,21.8,10.906610848480472,32.1591650358774
140,1986,190.0,3,17.0,16.3,0.0,62.56,11.1,8.015950206518502,32.3068203287361
141,1986,162.5,3,18.0,20.2,0.0,58.97,18.4,10.14792637676175,32.1729087609305
142,1986,179.5,1,19.0,23.9,0.0,52.69,50.0,22.565620867568853,35.1769188894937
143,1986,58.0,0,20.0,17.5,0.0,62.69,18.4,4.446666666666666,46.031746031745996
144,1986,190.0,1,21.0,18.5,0.0,54.73,9.3,6.782367022016791,34.268537074148306
145,1986,194.0,1,22.0,19.3,0.0,65.97,29.5,20.629110909546437,37.1984021304927
146,1986,214.0,1,3.0,15.6,14.45,86.47,20.4,13.779340880025027,37.1617384593121
147,1986,243.0,1,4.0,15.6,0.0,85.79,27.6,11.089009660901375,34.957042957043
148,1986,124.5,1,5.0,14.4,3.0,92.04,21.9,1.6673964162711583,40.57944771389771
150,1986,201.0,1,7.0,14.6,0.3,87.68,30.8,5.941645022888181,40.6060606060606
151,1986,204.0,1,8.0,18.4,0.0,81.56,14.8,4.727597152937985,43.7272997916047
152,1986,61.5,0,9.0,18.0,2.0,81.0,18.4,6.378666666666667,46.847228099873
153,1987,6.0,0,0.0,26.2,22.65,77.46,24.4,3.266888888888888,50.7042253521127
154,1987,105.0,1,1.0,23.6,63.79,94.27,16.4,6.851555555555554,47.8905359179019
155,1987,87.0,0,10.0,22.3,0.0,53.17,22.3,5.720070645756694,44.168664504301205
156,1987,206.0,2,11.0,22.7,0.0,58.85,18.1,2.9790666414733513,28.9517860628538
157,1987,228.0,1,12.0,23.5,0.0,66.85,14.8,8.306610303694583,39.497618016457295
158,1987,219.0,3,13.0,23.7,0.0,79.96,17.9,13.972116868900638,34.5850149148974
159,1987,166.0,3,14.0,20.9,9.0,94.94,13.2,3.3925024007637794,31.672673309306802
160,1987,164.0,1,15.0,20.5,101.3,90.58,14.8,7.606699902052007,41.347433293648
161,1987,216.0,2,16.0,19.0,0.0,89.18,29.6,11.887484767444375,36.1657597321055
162,1987,239.0,2,17.0,21.7,25.63,85.82,20.4,11.288873444087452,37.9632897987999
163,1987,37.0,3,18.0,15.0,0.0,67.42,33.5,13.53098252522588,27.8428093645485
164,1987,185.0,3,19.0,19.7,0.0,56.9,24.2,21.834577217450057,37.8108322924946
165,1987,201.0,3,20.0,18.1,0.0,65.36,16.5,11.08631206466675,34.243528465288
166,1987,185.0,3,21.0,15.1,0.76,89.9,10.0,6.431075178932401,30.2383654937571
167,1987,186.0,3,22.0,17.4,0.35,80.39,9.4,0.9923347215354484,29.8555377207063
168,1987,219.0,1,3.0,20.9,0.0,76.93,20.0,7.7574203334139895,40.111930806410605
169,1987,79.0,1,4.0,21.0,0.0,62.19,19.9,14.337980717538205,43.3338412311443
170,1987,112.0,1,5.0,21.2,0.0,74.41,28.7,28.431273689772485,44.07039020658
171,1987,169.0,1,6.0,22.3,0.0,71.21,17.4,11.460518730219473,40.0869737102194
172,1987,211.0,1,7.0,22.0,1.3,86.65,18.2,8.775308380329948,41.0661188300806
173,1987,206.0,1,8.0,19.3,0.0,69.51,19.7,4.992123736052912,38.1618895692894
174,1987,260.0,1,9.0,18.6,0.0,67.44,20.5,8.14494071243989,36.6283165062221
175,1988,1.0,0,0.0,15.5,6.28,74.94,27.7,20.13382678562114,48.6486486486487
176,1988,92.0,1,1.0,15.9,5.95,87.73,25.9,9.872462021687033,40.419819380034205
177,1988,149.0,2,10.0,19.1,0.5,66.63,13.1,0.8714099348340061,42.8742706418352
178,1988,232.0,3,11.0,20.2,0.0,61.85,28.7,11.302145990060472,38.147437654151794
179,1988,227.0,3,12.0,19.2,0.3,56.93,14.8,3.1469913887374186,32.7613855035279
180,1988,38.0,3,13.0,15.7,0.0,68.42,23.4,7.810610213431949,36.5384615384615
181,1988,163.0,3,14.0,21.4,0.0,61.14,7.6,0.897840306904477,36.146359492423294
182,1988,187.0,3,15.0,22.8,0.0,76.9,11.2,9.520741671581535,29.4694449308352
183,1988,35.0,1,16.0,22.8,0.0,79.82,17.8,16.202715225896753,45.0643776824034
184,1988,198.0,1,17.0,23.5,0.32,59.92,11.8,7.280377404003528,39.859084046301
185,1988,94.0,1,18.0,21.8,0.0,71.8,14.8,12.028554302636273,42.485875706214706
186,1988,188.0,2,19.0,22.7,0.0,69.55,14.7,2.156090463362734,35.858853449189404
187,1988,223.0,1,20.0,24.2,0.0,69.44,14.5,14.46169054258305,36.7835051546392
188,1988,46.0,0,21.0,25.2,0.0,66.64,27.1,0.6473888888888907,44.0777215863721
189,1988,173.0,1,22.0,18.0,11.14,72.99,24.0,14.473900214100741,35.6109554577163
190,1988,213.0,1,3.0,17.0,0.3,82.51,19.0,16.43186268319956,43.7471474212688
191,1988,158.0,1,4.0,16.3,0.8,81.79,44.3,40.43236257004546,46.1913269449407
192,1988,148.0,1,5.0,15.1,1.55,87.31,28.3,26.80540774832052,45.718208340484
193,1988,52.0,0,6.0,15.3,1.46,84.65,25.4,25.120621308484758,49.2372435560231
194,1988,225.0,1,7.0,17.1,0.5,73.33,22.3,12.349059077990619,41.2633723892002
195,1988,219.0,1,8.0,18.5,0.0,66.76,16.5,3.5190305849488266,40.518038852913996
196,1988,161.0,2,9.0,21.2,0.0,73.6,20.6,11.694646389204877,42.458427953996
197,1989,7.8,0,0.0,16.6,0.7,87.93,29.0,8.329444444444443,47.2727272727273
198,1989,135.5,1,1.0,13.7,5.91,90.35,20.3,13.71377777777778,40.327380952381
199,1989,136.0,3,10.0,19.9,0.0,77.18,18.4,14.787070984421526,31.107440116907
200,1989,158.5,1,11.0,21.4,0.0,61.62,22.3,2.963795680672574,43.667253386393206
201,1989,242.0,1,12.0,27.6,0.0,47.1,25.9,23.065799358152493,42.593135816955105
202,1989,179.0,1,13.0,26.7,0.0,49.46,65.1,52.70749902722603,41.7060384441136
203,1989,240.0,2,14.0,19.7,0.0,48.93,24.6,23.44197811189278,37.121374865735795
204,1989,39.0,3,15.0,21.1,0.0,51.74,15.2,9.712355927424925,33.0975954738331
205,1989,175.0,3,16.0,19.8,0.0,46.61,16.3,14.858103105201426,36.617262423713996
206,1989,165.0,3,17.0,20.8,0.0,67.37,22.3,8.049456665556066,31.8686624818928
207,1989,91.5,3,18.0,22.2,0.0,60.9,25.9,21.47553247459109,36.245598591549296
208,1989,125.0,3,19.0,24.8,0.0,55.79,14.8,11.41971812790306,37.9011201886634
209,1989,130.0,1,20.0,26.3,0.6,53.16,33.5,17.431983084388136,37.815126050420204
210,1989,24.5,0,21.0,26.2,2.0,69.68,17.7,16.047404340939142,54.545454545454504
211,1989,241.0,1,3.0,14.6,12.34,78.23,27.7,13.880191250513118,36.6741345056432
212,1989,255.0,1,4.0,17.9,0.1,67.7,25.6,18.413519357345706,40.9127373206168
213,1989,73.0,0,5.0,21.5,0.0,82.1,20.7,3.9882187585124216,44.6028513238289
214,1989,259.0,1,6.0,19.7,12.04,86.15,29.5,16.07725457183537,37.1992818671454
215,1989,258.5,1,7.0,19.9,0.0,88.48,31.7,10.599649408163861,35.0944676999661
216,1989,157.0,1,8.0,18.3,0.0,86.63,14.8,6.9835904725738684,40.70286619616879
217,1989,147.0,3,9.0,18.8,0.6,89.3,12.0,7.86909363553588,32.355099046221596
218,1990,6.3,0,0.0,19.2,0.0,71.55,35.3,11.25677777777778,48.358208955223894
219,1990,138.5,1,1.0,15.3,0.2,74.06,29.5,8.39111111111111,41.7552968763085
220,1990,118.5,3,10.0,16.4,0.0,71.35,23.8,2.8021743418559324,34.7648928367696
221,1990,182.5,3,11.0,16.4,0.0,58.06,26.2,22.33800651478572,32.4108332100044
222,1990,33.5,3,12.0,20.0,0.0,58.82,14.9,5.779177243119597,35.3458382180539
223,1990,149.0,2,13.0,24.9,0.0,53.42,19.3,16.012162988214907,44.655344655344706
224,1990,205.0,2,14.0,21.0,27.23,81.55,25.5,4.271575256737378,39.416760134593794
225,1990,170.0,1,15.0,25.0,0.0,61.8,20.6,5.6618574277577585,40.1680231031767
226,1990,215.0,3,16.0,21.9,0.0,77.02,7.6,0.2237577419321408,30.379150639767605
227,1990,150.0,3,17.0,22.7,0.2,73.54,11.2,9.25117562946295,36.229453203622896
228,1990,202.0,1,18.0,25.3,0.0,35.54,14.9,5.989518925394286,35.4852876592007
229,1990,182.5,1,19.0,25.2,0.0,37.83,18.3,1.710220883874292,34.6445897489981
230,1990,45.5,0,20.0,24.9,0.0,55.28,19.8,5.104000000000001,43.563829787234
231,1990,182.5,1,21.0,26.6,0.0,45.72,23.5,6.586044153028444,37.26179673321229
232,1990,233.0,1,3.0,14.8,2.94,95.53,25.4,14.363305801289814,40.3793385644827
233,1990,203.0,1,4.0,18.3,4.0,84.17,7.6,4.996675988008418,37.644877144181706
234,1990,301.0,1,5.0,11.8,1.2,86.04,29.7,21.086493784874715,38.9966531111671
235,1990,202.5,1,6.0,13.5,9.1,80.42,30.3,0.6428725666668447,37.5077176373739
236,1990,61.5,0,7.0,12.8,2.8,87.79,18.4,7.55778858996296,47.8702702702703
237,1990,181.5,1,8.0,18.3,4.4,89.12,16.4,1.665281421828415,40.804346468494394
238,1990,196.0,2,9.0,21.0,0.0,68.18,26.1,7.453405228531828,41.102114522048105
239,1991,5.4,0,0.0,23.5,0.0,60.99,22.2,3.379333333333334,52.3989218328841
240,1991,114.5,1,1.0,23.3,3.66,72.58,19.2,4.703999999999999,46.1383478844862
241,1991,207.5,1,10.0,16.0,0.79,92.88,22.3,1.8567075749660025,38.4992011544606
242,1991,246.0,1,11.0,19.2,0.2,80.41,14.8,8.119816872834875,47.2294810943416
243,1991,192.0,3,12.0,30.1,0.0,26.14,33.5,3.2069551260620326,36.4710848459265
244,1991,232.0,3,13.0,22.7,0.0,73.64,14.8,13.759295953377888,32.2770134487556
245,1991,172.5,1,14.0,24.8,0.0,62.04,16.0,13.580158193951087,40.453390658589
246,1991,235.0,2,15.0,26.5,0.0,45.14,23.5,15.2266655017774,36.972292631763
247,1991,215.0,1,16.0,24.3,0.0,39.36,19.2,17.157368899501538,35.1834174280649
248,1991,125.0,3,17.0,23.4,13.94,61.72,22.3,19.17302411715076,36.443148688046605
249,1991,255.0,3,18.0,18.2,4.13,78.16,22.3,21.59841362338772,34.2447868094155
250,1991,177.0,2,19.0,19.1,2.82,61.35,18.4,5.787920568350194,41.088470466855796
251,1991,160.0,2,20.0,26.2,0.96,81.86,17.3,7.126476879930739,37.9646717637754
252,1991,57.0,0,21.0,27.3,0.0,76.9,10.2,4.582841672055547,47.665505226480796
253,1991,178.0,1,22.0,20.8,0.0,68.74,23.5,15.732585976441197,37.6586741889986
254,1991,210.5,1,3.0,21.6,0.19,76.92,11.2,9.252228927361529,40.0719158161916
255,1991,286.0,1,4.0,19.1,0.0,75.4,18.3,3.862962022811136,36.570291965617706
256,1991,149.5,1,5.0,18.6,0.0,73.69,15.1,12.867859822933582,45.387080452015496
257,1991,259.0,1,6.0,23.0,0.0,71.57,35.6,6.856695397703062,39.001129376333296
258,1991,167.0,1,7.0,18.0,0.0,76.19,20.4,7.531271114245757,41.353693768056104
259,1991,73.0,0,8.0,17.4,1.21,89.01,25.9,10.151761984414897,45.7520891364903
260,1991,161.0,1,9.0,16.8,2.24,89.57,18.4,3.468194099088735,43.7400950871632
261,1992,8.0,0,0.0,17.5,5.85,84.55,31.3,17.267166666666668,51.2455516014235
262,1992,194.5,2,1.0,16.4,16.39,86.2,33.4,23.194444444444443,42.0313344138304
263,1992,217.0,1,10.0,20.0,0.0,66.94,24.5,12.06626753729147,43.00578034682079
264,1992,249.5,2,11.0,21.1,0.0,74.36,12.8,0.25926023957083494,38.304405305130295
265,1992,267.5,2,12.0,18.2,0.0,87.62,21.5,5.082128087398877,37.2447400990099
266,1992,254.5,3,13.0,24.0,0.0,70.25,9.7,2.629284750003205,32.8493062278154
267,1992,186.5,3,14.0,23.8,0.0,75.35,10.8,4.961184292188956,32.7224875718881
268,1992,198.0,2,15.0,25.2,0.0,70.64,15.3,12.598128795599113,41.833440929632
269,1992,212.0,2,16.0,20.7,17.4,87.22,14.8,11.487305899062875,36.1124254755371
270,1992,189.0,1,17.0,19.8,0.0,73.7,15.2,13.74419126719085,41.2488632919066
271,1992,212.0,1,18.0,21.6,0.0,54.35,21.9,20.190748141451778,41.39951179820989
272,1992,64.0,0,19.0,20.7,0.0,63.64,22.0,21.331698892364145,52.351738241308794
273,1992,255.0,2,2.0,15.3,16.25,88.76,17.4,15.801885994525753,38.0660142643888
274,1992,222.0,1,20.0,19.4,0.0,70.27,13.6,10.151947222594814,36.633663366336606
275,1992,141.0,1,21.0,21.5,0.0,60.39,16.0,0.9454158241094976,40.5528481265479
276,1992,210.0,1,3.0,19.8,0.2,79.0,18.4,14.14176932106418,36.49177004392529
277,1992,196.0,1,5.0,18.9,0.0,77.49,20.3,15.643128376318451,47.8016394553215
278,1992,167.0,1,6.0,16.4,0.44,82.95,25.7,25.15951385998169,46.15384615384621
279,1992,196.5,1,7.0,16.1,0.9,81.92,21.2,17.563054564844414,45.037244540650704
280,1992,206.5,1,8.0,16.2,2.3,74.72,21.3,14.245585161212803,43.415289376861494
281,1992,65.0,0,9.0,15.9,0.1,74.79,29.5,8.505833333333335,49.0463215258856
282,1993,6.8,0,0.0,20.1,0.2,70.91,12.5,2.472222222222222,49.7560975609756
283,1993,215.0,1,1.0,21.4,0.0,71.49,19.9,13.784904157758698,44.10507721237679
284,1993,203.0,3,10.0,15.5,0.0,56.52,15.1,12.363146019431172,37.0362862355565
285,1993,179.0,3,11.0,20.1,0.0,71.34,14.5,2.5280537815669524,31.490983726726302
286,1993,286.5,1,12.0,23.5,0.0,61.8,22.0,8.980122104292871,38.2226504595316
287,1993,181.5,1,13.0,21.9,0.0,80.17,21.7,17.138584040528798,43.01514154048721
288,1993,223.0,1,14.0,24.9,0.0,64.39,26.5,1.0239793840883973,40.6872434240535
289,1993,231.5,3,15.0,16.7,0.8,77.72,17.0,1.0529763249618251,31.5454786328022
290,1993,230.0,3,16.0,16.5,0.6,69.92,25.9,1.0303787930374353,31.2913344166887
291,1993,190.0,3,17.0,17.6,0.0,73.17,14.1,0.8118180071128923,37.30976926853221
